# balance: games=100000 agent=greedy deck=72
card,name,family,contribution_ev,contribution_sd,holder_score_ev,win_rate_held,win_rate_delta,family_mean,deviation_sd,flag
S1,"Rich Vein",Strike,20.40,6.15,106.78,0.5760,0.0760,17.73,1.18,
S2,"Sure Thing",Strike,16.91,7.33,104.08,0.5087,0.0087,17.73,-0.36,
S3,"Careful Assay",Strike,20.51,8.33,104.98,0.5210,0.0210,17.73,1.23,
S4,"Bonanza",Strike,17.39,10.64,103.17,0.4741,-0.0259,17.73,-0.15,
S5,"Steady Take",Strike,16.26,4.26,104.47,0.5308,0.0308,17.73,-0.65,
S6,"Grubstake",Strike,14.93,0.65,101.40,0.4365,-0.0635,17.73,-1.24,
D1,"Pay Streak",Dig,15.75,5.26,102.23,0.4566,-0.0434,17.57,-0.83,
D2,"Hard Rock",Dig,17.24,7.29,103.24,0.4792,-0.0208,17.57,-0.15,
D3,"Deep Shaft",Dig,19.81,6.59,104.73,0.5017,0.0017,17.57,1.02,
D4,"Ore Buyer",Dig,16.83,4.34,104.88,0.5386,0.0386,17.57,-0.33,
D5,"Claim Rivalry",Dig,15.15,6.92,101.97,0.4482,-0.0518,17.57,-1.10,
D6,"Muck Out",Dig,20.64,7.76,105.19,0.5207,0.0207,17.57,1.39,
L1,"Wash Plant",Sluice,15.35,5.44,101.37,0.4291,-0.0709,17.04,-1.05,
L2,"Long Tom",Sluice,17.43,7.22,103.15,0.4675,-0.0325,17.04,0.24,
L3,"Tailings",Sluice,16.82,4.34,104.69,0.5277,0.0277,17.04,-0.13,
L4,"Riffle Box",Sluice,19.50,6.73,103.81,0.4725,-0.0275,17.04,1.53,OUTLIER
L5,"Downstream Claim",Sluice,15.25,6.92,102.09,0.4479,-0.0521,17.04,-1.11,
L6,"Sluice Rights",Sluice,17.87,5.49,103.95,0.4909,-0.0091,17.04,0.51,
V1,"Crystal Ladder",Vein,18.97,9.71,104.77,0.5233,0.0233,18.97,-0.00,
V2,"Mother Lode",Vein,20.13,10.68,105.68,0.5421,0.0421,18.97,0.44,
V3,"Crystal Trade",Vein,19.84,7.54,105.43,0.5520,0.0520,18.97,0.33,
V4,"Prism",Vein,22.89,14.30,107.69,0.5722,0.0722,18.97,1.47,
V5,"Vein Rivalry",Vein,16.37,8.73,103.27,0.4969,-0.0031,18.97,-0.98,
V6,"Cut and Polish",Vein,15.63,3.16,103.88,0.5178,0.0178,18.97,-1.26,
O1,"Full Outfit",Outfit,17.74,3.78,105.89,0.5473,0.0473,16.89,0.42,
O2,"Mule Train",Outfit,17.10,4.66,104.45,0.5074,0.0074,16.89,0.10,
O3,"Well Equipped",Outfit,17.89,0.69,105.37,0.5310,0.0310,16.89,0.50,
O4,"Sharpened Steel",Outfit,19.58,5.41,106.89,0.5699,0.0699,16.89,1.34,
O5,"Supply Line",Outfit,14.41,7.55,102.65,0.4671,-0.0329,16.89,-1.23,
O6,"Camp Store",Outfit,14.63,2.48,103.52,0.5020,0.0020,16.89,-1.12,
P1,"Pyrite Hoarder",Prospect,21.73,7.89,106.81,0.5231,0.0231,15.81,1.48,
P2,"Clean Claim",Prospect,14.42,5.78,99.72,0.3680,-0.1320,15.81,-0.35,
P3,"Broad Claim",Prospect,14.60,3.70,103.16,0.4873,-0.0127,15.81,-0.30,
P4,"Two Trades",Prospect,14.85,3.23,102.76,0.4650,-0.0350,15.81,-0.24,
P5,"Highgrader",Prospect,10.31,6.01,98.53,0.3701,-0.1299,15.81,-1.38,
P6,"Volume Play",Prospect,18.98,4.26,108.31,0.6286,0.1286,15.81,0.79,
